date,rank,song,artist,last-week,peak-rank,weeks-on-board,spotify-id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness,tempo
2021-11-06,1,Easy On Me,Adele,1,1,3
2021-11-06,2,Stay,The Kid LAROI & Justin Bieber,2,1,16
2021-11-06,3,Industry Baby,Lil Nas X & Jack Harlow,3,1,14
2021-11-06,4,Fancy Like,Walker Hayes,4,3,19
2021-11-06,5,Bad Habits,Ed Sheeran,5,2,18
2021-11-06,6,Way 2 Sexy,Drake Featuring Future & Young Thug,6,1,8
2021-11-06,7,Shivers,Ed Sheeran,9,7,7
2021-11-06,8,Good 4 U,Olivia Rodrigo,7,1,24
2021-11-06,9,Need To Know,Doja Cat,11,9,20
2021-11-06,10,Levitating,Dua Lipa,8,2,56
2021-10-30,1,Easy On Me,Adele,68,1,2
2021-10-30,2,Stay,The Kid LAROI & Justin Bieber,2,1,15
2021-10-30,3,Industry Baby,Lil Nas X & Jack Harlow,1,1,13
2021-10-30,4,Fancy Like,Walker Hayes,3,3,18
2021-10-30,5,Bad Habits,Ed Sheeran,4,2,17
2021-10-30,6,Way 2 Sexy,Drake Featuring Future & Young Thug,5,1,7
2021-10-30,7,Good 4 U,Olivia Rodrigo,6,1,23
2021-10-30,8,Levitating,Dua Lipa,8,2,55
2021-10-30,9,Shivers,Ed Sheeran,10,9,6
2021-10-30,10,Kiss Me More,Doja Cat Featuring SZA,7,3,28
2021-10-23,1,Industry Baby,Lil Nas X & Jack Harlow,2,1,12
2021-10-23,2,Stay,The Kid LAROI & Justin Bieber,1,1,14
2021-10-23,3,Fancy Like,Walker Hayes,3,3,17
2021-10-23,4,Bad Habits,Ed Sheeran,5,2,16
2021-10-23,5,Way 2 Sexy,Drake Featuring Future & Young Thug,4,1,6
2021-10-23,6,Good 4 U,Olivia Rodrigo,6,1,22
2021-10-23,7,Kiss Me More,Doja Cat Featuring SZA,7,3,27
2021-10-23,8,Levitating,Dua Lipa,8,2,54
2021-10-23,9,Essence,Wizkid Featuring Justin Bieber & Tems,10,9,15
2021-10-23,10,Shivers,Ed Sheeran,11,10,5
2021-10-16,1,Stay,The Kid LAROI & Justin Bieber,2,1,13
2021-10-16,2,Industry Baby,Lil Nas X & Jack Harlow,3,2,11
2021-10-16,3,Fancy Like,Walker Hayes,5,3,16
2021-10-16,4,Way 2 Sexy,Drake Featuring Future & Young Thug,4,1,5
2021-10-16,5,Bad Habits,Ed Sheeran,6,2,15
2021-10-16,6,Good 4 U,Olivia Rodrigo,7,1,21
2021-10-16,7,Kiss Me More,Doja Cat Featuring SZA,8,3,26
2021-10-16,8,Levitating,Dua Lipa,10,2,53
2021-10-16,9,Knife Talk,Drake Featuring 21 Savage & Project Pat,9,4,5
2021-10-16,10,Essence,Wizkid Featuring Justin Bieber & Tems,11,10,14
2021-10-09,1,My Universe,Coldplay x BTS,,1,1
2021-10-09,2,Stay,The Kid LAROI & Justin Bieber,1,1,12
2021-10-09,3,Industry Baby,Lil Nas X & Jack Harlow,2,2,10
2021-10-09,4,Way 2 Sexy,Drake Featuring Future & Young Thug,3,1,4
2021-10-09,5,Fancy Like,Walker Hayes,5,5,15
2021-10-09,6,Bad Habits,Ed Sheeran,4,2,14
2021-10-09,7,Good 4 U,Olivia Rodrigo,6,1,20
2021-10-09,8,Kiss Me More,Doja Cat Featuring SZA,7,3,25
2021-10-09,9,Knife Talk,Drake Featuring 21 Savage & Project Pat,8,4,4
2021-10-09,10,Levitating,Dua Lipa,11,2,52
2021-10-02,1,Stay,The Kid LAROI & Justin Bieber,1,1,11
2021-10-02,2,Industry Baby,Lil Nas X & Jack Harlow,6,2,9
2021-10-02,3,Way 2 Sexy,Drake Featuring Future & Young Thug,2,1,3
2021-10-02,4,Bad Habits,Ed Sheeran,3,2,13
2021-10-02,5,Fancy Like,Walker Hayes,5,5,14
2021-10-02,6,Good 4 U,Olivia Rodrigo,7,1,19
2021-10-02,7,Kiss Me More,Doja Cat Featuring SZA,8,3,24
2021-10-02,8,Knife Talk,Drake Featuring 21 Savage & Project Pat,4,4,3
2021-10-02,9,Montero (Call Me By Your Name),Lil Nas X,13,1,26
2021-10-02,10,Thats What I Want,Lil Nas X,,10,1
2021-09-25,1,Stay,The Kid LAROI & Justin Bieber,6,1,10
2021-09-25,2,Way 2 Sexy,Drake Featuring Future & Young Thug,1,1,2
2021-09-25,3,Bad Habits,Ed Sheeran,13,2,12
2021-09-25,4,Knife Talk,Drake Featuring 21 Savage & Project Pat,5,4,2
2021-09-25,5,Fancy Like,Walker Hayes,21,5,13
2021-09-25,6,Industry Baby,Lil Nas X & Jack Harlow,20,2,8
2021-09-25,7,Good 4 U,Olivia Rodrigo,15,1,18
2021-09-25,8,Kiss Me More,Doja Cat Featuring SZA,19,3,23
2021-09-25,9,Levitating,Dua Lipa,23,2,50
2021-09-25,10,Girls Want Girls,Drake Featuring Lil Baby,2,2,2
2021-09-18,1,Way 2 Sexy,Drake Featuring Future & Young Thug,,1,1
2021-09-18,2,Girls Want Girls,Drake Featuring Lil Baby,,2,1
2021-09-18,3,Fair Trade,Drake Featuring Travis Scott,,3,1
2021-09-18,4,Champagne Poetry,Drake,,4,1
2021-09-18,5,Knife Talk,Drake Featuring 21 Savage & Project Pat,,5,1
2021-09-18,6,Stay,The Kid LAROI & Justin Bieber,2,1,9
2021-09-18,7,In The Bible,Drake Featuring Lil Durk & Giveon,,7,1
2021-09-18,8,Papi s Home,Drake,,8,1
2021-09-18,9,TSU,Drake,,9,1
2021-09-18,10,Love All,Drake Featuring JAY-Z,,10,1
2021-09-11,1,Butter,BTS,7,1,15
2021-09-11,2,Stay,The Kid LAROI & Justin Bieber,1,1,8
2021-09-11,3,Bad Habits,Ed Sheeran,2,2,10
2021-09-11,4,Good 4 U,Olivia Rodrigo,3,1,16
2021-09-11,5,Kiss Me More,Doja Cat Featuring SZA,4,3,21
2021-09-11,6,Hurricane,Kanye West,,6,1
2021-09-11,7,Industry Baby,Lil Nas X & Jack Harlow,5,2,6
2021-09-11,8,Levitating,Dua Lipa,6,2,48
2021-09-11,9,Fancy Like,Walker Hayes,11,9,11
2021-09-11,10,Jail,Kanye West,,10,1
2021-09-04,1,Stay,The Kid LAROI & Justin Bieber,1,1,7
2021-09-04,2,Bad Habits,Ed Sheeran,2,2,9
2021-09-04,3,Good 4 U,Olivia Rodrigo,3,1,15
2021-09-04,4,Kiss Me More,Doja Cat Featuring SZA,5,3,20
2021-09-04,5,Industry Baby,Lil Nas X & Jack Harlow,7,2,5
2021-09-04,6,Levitating,Dua Lipa,6,2,47
2021-09-04,7,Butter,BTS,8,1,14
2021-09-04,8,Deja Vu,Olivia Rodrigo,9,3,21
2021-09-04,9,Montero (Call Me By Your Name),Lil Nas X,10,1,22
2021-09-04,10,Save Your Tears,The Weeknd & Ariana Grande,11,1,37
2021-08-28,1,Stay,The Kid LAROI & Justin Bieber,1,1,6
2021-08-28,2,Bad Habits,Ed Sheeran,3,2,8
2021-08-28,3,Good 4 U,Olivia Rodrigo,2,1,14
2021-08-28,4,Rumors,Lizzo Featuring Cardi B,,4,1
2021-08-28,5,Kiss Me More,Doja Cat Featuring SZA,4,3,19
2021-08-28,6,Levitating,Dua Lipa,5,2,46
2021-08-28,7,Industry Baby,Lil Nas X & Jack Harlow,8,2,4
2021-08-28,8,Butter,BTS,7,1,13
2021-08-28,9,Deja Vu,Olivia Rodrigo,10,3,20
2021-08-28,10,Montero (Call Me By Your Name),Lil Nas X,9,1,21
2021-08-21,1,Stay,The Kid LAROI & Justin Bieber,1,1,5
2021-08-21,2,Good 4 U,Olivia Rodrigo,2,1,13
2021-08-21,3,Bad Habits,Ed Sheeran,5,3,7
2021-08-21,4,Kiss Me More,Doja Cat Featuring SZA,6,3,18
2021-08-21,5,Levitating,Dua Lipa,3,2,45
2021-08-21,6,Take My Breath,The Weeknd,,6,1
2021-08-21,7,Butter,BTS,4,1,12
2021-08-21,8,Industry Baby,Lil Nas X & Jack Harlow,7,2,3
2021-08-21,9,Montero (Call Me By Your Name),Lil Nas X,8,1,20
2021-08-21,10,Deja Vu,Olivia Rodrigo,9,3,19
2021-08-14,1,Stay,The Kid LAROI & Justin Bieber,4,1,4
2021-08-14,2,Good 4 U,Olivia Rodrigo,3,1,12
2021-08-14,3,Levitating,Dua Lipa,5,2,44
2021-08-14,4,Butter,BTS,1,1,11
2021-08-14,5,Bad Habits,Ed Sheeran,7,5,6
2021-08-14,6,Kiss Me More,Doja Cat Featuring SZA,6,3,17
2021-08-14,7,Industry Baby,Lil Nas X & Jack Harlow,2,2,2
2021-08-14,8,Montero (Call Me By Your Name),Lil Nas X,8,1,19
2021-08-14,9,Deja Vu,Olivia Rodrigo,10,3,18
2021-08-14,10,Save Your Tears,The Weeknd & Ariana Grande,11,1,34
2021-08-07,1,Butter,BTS,1,1,10
2021-08-07,2,Industry Baby,Lil Nas X & Jack Harlow,,2,1
2021-08-07,3,Good 4 U,Olivia Rodrigo,2,1,11
2021-08-07,4,Stay,The Kid LAROI & Justin Bieber,4,3,3
2021-08-07,5,Levitating,Dua Lipa,3,2,43
2021-08-07,6,Kiss Me More,Doja Cat Featuring SZA,5,3,16
2021-08-07,7,Bad Habits,Ed Sheeran,6,5,5
2021-08-07,8,Montero (Call Me By Your Name),Lil Nas X,8,1,18
2021-08-07,9,Permission To Dance,BTS,7,1,3
2021-08-07,10,Deja Vu,Olivia Rodrigo,9,3,17
2021-07-31,1,Butter,BTS,7,1,9
2021-07-31,2,Good 4 U,Olivia Rodrigo,2,1,10
2021-07-31,3,Levitating,Dua Lipa,4,2,42
2021-07-31,4,Stay,The Kid LAROI & Justin Bieber,3,3,2
2021-07-31,5,Kiss Me More,Doja Cat Featuring SZA,5,3,15
2021-07-31,6,Bad Habits,Ed Sheeran,6,5,4
2021-07-31,7,Permission To Dance,BTS,1,1,2
2021-07-31,8,Montero (Call Me By Your Name),Lil Nas X,8,1,17
2021-07-31,9,Deja Vu,Olivia Rodrigo,10,3,16
2021-07-31,10,Save Your Tears,The Weeknd & Ariana Grande,9,1,32
2021-07-24,1,Permission To Dance,BTS,,1,1
2021-07-24,2,Good 4 U,Olivia Rodrigo,2,1,9
2021-07-24,3,Stay,The Kid LAROI & Justin Bieber,,3,1
2021-07-24,4,Levitating,Dua Lipa,3,2,41
2021-07-24,5,Kiss Me More,Doja Cat Featuring SZA,4,3,14
2021-07-24,6,Bad Habits,Ed Sheeran,6,5,3
2021-07-24,7,Butter,BTS,1,1,8
2021-07-24,8,Montero (Call Me By Your Name),Lil Nas X,5,1,16
2021-07-24,9,Save Your Tears,The Weeknd & Ariana Grande,9,1,31
2021-07-24,10,Deja Vu,Olivia Rodrigo,10,3,15
2021-07-17,1,Butter,BTS,1,1,7
2021-07-17,2,Good 4 U,Olivia Rodrigo,2,1,8
2021-07-17,3,Levitating,Dua Lipa Featuring DaBaby,4,2,40
2021-07-17,4,Kiss Me More,Doja Cat Featuring SZA,3,3,13
2021-07-17,5,Montero (Call Me By Your Name),Lil Nas X,8,1,15
2021-07-17,6,Bad Habits,Ed Sheeran,5,5,2
2021-07-17,7,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),6,1,18
2021-07-17,8,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,7,1,16
